activity_tercile,n_rows,observed_macro_f1,dummy_macro_f1,observed_delta_vs_dummy,shuffled_macro_f1_mean,shuffled_macro_f1_max,shuffled_delta_mean,shuffled_delta_max,n_perms,observed_exceeds_shuffle_max,note
all,325967,0.5071934524791519,0.5008318501551472,0.006361602324004734,0.46362144353843054,0.4682095820317015,-0.03721040661671665,-0.03262226812344571,50,True,"Within-(ticker,trading_day) label-shuffle negative control over 50 permutations; measure-only; frozen V2.1 dumps (run 20260618_063559_889276)."
low,95310,0.5422743814581777,0.5014445905562752,0.04082979090190253,0.4652091854134436,0.4713459955685771,-0.036235405142831634,-0.030098594987698124,50,True,
mid,111178,0.5058887275817867,0.5003109101749339,0.005577817406852814,0.46279139516555207,0.4675970852852014,-0.03751951500938183,-0.03271382488973251,50,True,
high,119479,0.4796792938842355,0.5007181199625655,-0.02103882607833002,0.46205963571762176,0.4692927252712873,-0.03865848424494378,-0.03142539469127825,50,True,
