coverage,n_covered_per_seed,selective_risk_score,selective_risk_oracle,expected_random_risk,selective_risk_diff_random_minus_prespecified_pp,score_bootstrap_lo,score_bootstrap_hi,selective_risk_diff_bootstrap_lo_pp,selective_risk_diff_bootstrap_hi_pp,random_permutation_lo,random_permutation_hi
0.05,7553,0.4639093377411224,0.0,0.48081938780914046,1.6910050068018045,0.44941266450939865,0.4797169353002136,0.3467026496646783,2.9794647202032123,0.4712718427323273,0.49093526608419386
0.05372549019607843,8116,0.46463847110236356,0.0,0.48081938780914046,1.6180916706776904,0.45039305027188825,0.4796823082511619,0.3801433635977794,2.8713342863585742,0.47147301626416954,0.49057571463775257
0.05745098039215687,8679,0.4656633564003571,0.0,0.48081938780914046,1.5156031408783355,0.45104588195028006,0.48010349939943786,0.2582851817831099,2.7494361243645713,0.47176806083650186,0.48986058301647656
0.0611764705882353,9242,0.46640178478090905,0.0,0.48081938780914046,1.4417603028231418,0.452166713690484,0.4799998579361901,0.2700416684624928,2.6318093194751326,0.472403159489288,0.4901022505951093
0.06490196078431373,9804,0.4663236320871289,0.0,0.48081938780914046,1.449575572201156,0.4527220346990245,0.4797981919667746,0.291048849815245,2.5959277127061386,0.4725114737378888,0.4896506884242733
0.06862745098039216,10367,0.46648062123239187,0.0,0.48081938780914046,1.4338766576748596,0.4530829630313406,0.47988513194085874,0.3118584401510949,2.5488080771756394,0.47294560185185186,0.48940007716049383
0.07235294117647059,10930,0.46670037902711914,0.0,0.48081938780914046,1.4119008782021325,0.45342906057886184,0.4799388886027169,0.2680626016791654,2.5404265575379776,0.47300892040256176,0.4892520585544373
0.07607843137254902,11493,0.46609643348117225,0.0,0.48081938780914046,1.4722954327968218,0.4531830022927617,0.479461202315509,0.33960235279502693,2.6073905802952373,0.4731564865570347,0.48886387366222916
0.07980392156862745,12055,0.4654307322113296,0.0,0.48081938780914046,1.5388655597810885,0.4525436058805394,0.4786169216548184,0.457327002151363,2.5872698821358515,0.47316585102853354,0.48859696416721965
0.08352941176470588,12618,0.4652998479730996,0.0,0.48081938780914046,1.5519539836040874,0.45282381883717027,0.4785737589849068,0.47502550208986405,2.5654211915272427,0.4734527300103019,0.48850939060147397
0.08725490196078431,13181,0.46548081115525475,0.0,0.48081938780914046,1.5338576653885716,0.4525294313418279,0.47816559304710965,0.5113059327262035,2.5902761224974915,0.47337278106508873,0.48835722955545435
0.09098039215686274,13744,0.4647529218679081,0.0,0.48081938780914046,1.6066465941232344,0.4520099288897625,0.4773192313717563,0.6175951944499922,2.6211804750263914,0.47391407159487775,0.4883221769499418
0.09470588235294118,14307,0.46442213785237274,0.0,0.48081938780914046,1.6397249956767723,0.4517299616628117,0.4766854710116182,0.6137652154337464,2.6316653719197753,0.4739611728524498,0.48801635563011114
0.09843137254901961,14869,0.46450985813662415,0.0,0.48081938780914046,1.630952967251631,0.4520720558556506,0.47658576632158145,0.6112472102548173,2.6018299071378954,0.47431069266980497,0.48780010087424347
0.10215686274509804,15432,0.46390669361178627,0.0,0.48081938780914046,1.6912694197354194,0.45181103484541996,0.4761329980571673,0.6777245620707871,2.6077100236849167,0.4743074904425582,0.4875291582971555
0.10588235294117648,15995,0.46333231830933663,0.0,0.48081938780914046,1.7487069499803831,0.45142922653189066,0.4750882892119353,0.776465592819569,2.6547173736022067,0.4746483495873968,0.4876844211052763
0.10960784313725491,16558,0.46234402940613784,0.0,0.48081938780914046,1.8475358403002629,0.4514843739709729,0.47402708785427033,0.8795619246263208,2.7213599747037716,0.47451307525063413,0.48717009904577846
0.11333333333333334,17121,0.46347710864451863,0.0,0.48081938780914046,1.7342279164621832,0.45251326072826686,0.47457685753414225,0.8231894663854809,2.635285548057335,0.4745911453770224,0.48718313766719235
0.11705882352941177,17683,0.4638360871503211,0.0,0.48081938780914046,1.6983300658819367,0.45289331100970426,0.47496530954945926,0.7922927086975045,2.5545251339051727,0.4746649513684687,0.4870794220764533
0.1207843137254902,18246,0.46333918138593166,0.0,0.48081938780914046,1.74802064232088,0.452223456310634,0.4743483260855796,0.8267128014359549,2.6084337508284743,0.474680769441552,0.4870691072505069
0.12450980392156863,18809,0.46281025593899716,0.0,0.48081938780914046,1.8009131870143302,0.4520533282019095,0.47376022060270323,0.900125021247934,2.6329961734311986,0.474930219575735,0.486923813068212
0.12823529411764706,19372,0.4627550167498613,0.0,0.48081938780914046,1.806437105927916,0.45223380215488873,0.4733484384871746,0.9456961031346718,2.634679103713503,0.47473028081767504,0.4867347202147429
0.1319607843137255,19935,0.46330486730773246,0.0,0.48081938780914046,1.7514520501408004,0.45224826546734687,0.4737160796668925,0.889892956170482,2.6027185517467113,0.4750670930524204,0.48668234261349386
0.13568627450980392,20497,0.46306832702945905,0.0,0.48081938780914046,1.7751060779681416,0.4524810205321869,0.4738016875057878,0.9414519444420462,2.585219726068416,0.47511891404039425,0.48680481022538785
0.13941176470588235,21060,0.4630343614871108,0.0,0.48081938780914046,1.7785026322029662,0.4523367722688484,0.47384525321749016,0.9798728280860696,2.599443691433333,0.4752623332225441,0.4866833246284602
0.14313725490196078,21623,0.4629585465636471,0.0,0.48081938780914046,1.7860841245493364,0.4526464295435172,0.47384092048632437,0.99559817947987,2.5688193929285177,0.4756509272533876,0.4864958608888683
0.1468627450980392,22186,0.4629265258948469,0.0,0.48081938780914046,1.7892861914293567,0.45270708733739706,0.4736685010160675,0.9817107895806232,2.5250883339079326,0.4755465158207879,0.4864340124402777
0.15058823529411763,22748,0.4635461312661282,0.0,0.48081938780914046,1.727325654301226,0.4532457455512585,0.473917986820268,0.9852384964316578,2.476793000846273,0.47549287880785973,0.4863757747593301
0.15431372549019606,23311,0.46359593072114236,0.0,0.48081938780914046,1.7223457087998106,0.4531639268733629,0.4738509789452669,0.985681060497371,2.47715560768133,0.47571905027453676,0.4864892544612217
0.15803921568627452,23874,0.463243833775819,0.0,0.48081938780914046,1.757555403332145,0.4530063431675457,0.47381985175544666,0.9865006242383167,2.4792483626613135,0.4756649214659686,0.48630418848167534
0.16176470588235295,24437,0.46318718603488046,0.0,0.48081938780914046,1.7632201774260003,0.45333020821841014,0.4734952059347797,1.030906853874526,2.4932381753740653,0.47583326513074437,0.48621045954904446
0.16549019607843138,25000,0.4630316441470208,0.0,0.48081938780914046,1.778774366211966,0.45333030782416783,0.47345574212960817,1.0552380916269362,2.497260688834508,0.4756785,0.48610099999999995
0.1692156862745098,25562,0.46296516487343864,0.0,0.48081938780914046,1.7854222935701825,0.4530317583625645,0.4728230509479157,1.0727739834111802,2.5081241355700277,0.47584350428353483,0.4858990533192505
0.17294117647058824,26125,0.46260313688804944,0.0,0.48081938780914046,1.8216250921091026,0.4529295574183231,0.4729402976014501,1.059574139141518,2.5109489985921294,0.47588561203398916,0.48595269080609355
0.1766666666666667,26688,0.46288590416122155,0.0,0.48081938780914046,1.7933483647918913,0.4529445218214237,0.47305808255151766,1.0503056506959456,2.4846837020123584,0.4759250412170264,0.48593047437050363
0.18039215686274512,27251,0.46289572906117804,0.0,0.48081938780914046,1.7923658747962423,0.4533165279119935,0.473099367494655,1.0759942399388718,2.4604863606590954,0.4759082235514293,0.4858541888371069
0.18411764705882355,27814,0.46337303394326435,0.0,0.48081938780914046,1.7446353865876119,0.4539824123602795,0.47306479395080364,1.0640846210258927,2.411471048530076,0.47594646580858563,0.4858893003523405
0.18784313725490198,28376,0.4639135929457272,0.0,0.48081938780914046,1.690579486341326,0.45404162525337605,0.47374698450265335,0.9972787820714547,2.3676440156897764,0.4759660112062586,0.4858701589315291
0.1915686274509804,28939,0.4639221422865959,0.0,0.48081938780914046,1.6897245522544568,0.45402950826620647,0.47373590620752504,1.0113739573376355,2.344845906723226,0.47622451624049755,0.4856776952315135
0.19529411764705884,29502,0.4641040197402886,0.0,0.48081938780914046,1.6715368068851877,0.45431417643534344,0.4735731950489856,1.020941132762447,2.3303809153655615,0.47606899532235103,0.4857132567283574
0.19901960784313727,30065,0.46403918699800206,0.0,0.48081938780914046,1.6780200811138402,0.4546242650346256,0.47347324788418255,1.0244206481260805,2.3059185583015065,0.4760510560452353,0.4855666888408448
0.2027450980392157,30627,0.46398659626671646,0.0,0.48081938780914046,1.6832791542424008,0.4547206350083629,0.4735804584317304,1.0346218570347492,2.297648911052552,0.4760998922554525,0.48550346088546426
0.20647058823529413,31190,0.4639835298991878,0.0,0.48081938780914046,1.6835857909952678,0.45477654315095073,0.4736535336338743,1.037099988685207,2.3020452533013653,0.4762102850181142,0.4854300920137219
0.21019607843137256,31753,0.46416093485133375,0.0,0.48081938780914046,1.6658452957806713,0.45489814830053826,0.4736082846655435,1.037398883634945,2.2950400659157126,0.4762545663538452,0.48556284247653836
0.213921568627451,32316,0.46432091134544407,0.0,0.48081938780914046,1.6498476463696399,0.45480196131591877,0.47374321787453233,1.023622344736401,2.281965271997943,0.4762950241366506,0.48533234311177126
0.21764705882352942,32879,0.46385190596802617,0.0,0.48081938780914046,1.6967481841114296,0.45487207992882195,0.47360366152543437,1.046788199319177,2.2750218607428954,0.47626144347455823,0.485340566927218
0.22137254901960784,33441,0.4637811052957598,0.0,0.48081938780914046,1.7038282513380687,0.45488178404735,0.4733856330807997,1.0646692873728498,2.280398689051914,0.4763766371628491,0.48524310746964894
0.22509803921568627,34004,0.4637986004356983,0.0,0.48081938780914046,1.7020787373442148,0.45479601238331274,0.4733790754960396,1.0730437148745,2.263351535504209,0.4762384208204675,0.4851643140714601
0.2288235294117647,34567,0.4638383404666673,0.0,0.48081938780914046,1.6981047342473188,0.4551178181029057,0.4732918747065132,1.0768965951784852,2.2471228765851836,0.47629205600717445,0.4851907165793965
0.23254901960784313,35130,0.46403336949979623,0.0,0.48081938780914046,1.678601830934423,0.45510676362414704,0.47340665028139894,1.065473347702954,2.241706855767094,0.4763307714204384,0.48508610873896957
0.23627450980392156,35693,0.4638780233742359,0.0,0.48081938780914046,1.6941364434904571,0.45527871310154905,0.47327592717275063,1.0748196206165144,2.2334134969266146,0.4763363964923094,0.48513784215392375
0.24,36255,0.464143232883969,0.0,0.48081938780914046,1.6676154925171438,0.45545823039699307,0.47344107872095076,1.082459112063778,2.202090807641125,0.47633391714474843,0.48518934796999114
0.24372549019607842,36818,0.4643518185734583,0.0,0.48081938780914046,1.6467569235682156,0.4556057461234408,0.4735296633261984,1.0782890276406192,2.217725709218226,0.4762350960102121,0.48509193622857766
0.24745098039215685,37381,0.46440698972491024,0.0,0.48081938780914046,1.6412398084230229,0.4557033748341434,0.4733877430074259,1.063047094145784,2.2014936755166015,0.47643087397340894,0.4849127899200128
0.2511764705882353,37944,0.4645791209495542,0.0,0.48081938780914046,1.6240266859586239,0.45564014261408875,0.473477732508635,1.064243143540137,2.180842781310628,0.4765430634619439,0.48486058401855364
0.2549019607843137,38507,0.4645320983784599,0.0,0.48081938780914046,1.6287289430680585,0.45580887535380377,0.4735162686926855,1.0691248334075094,2.1617341270233292,0.4764968057755733,0.48483490014802505
